POLY_ID,Latitude,Longitude,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,2nd Max Value,3rd Max Value,4th Max Value,CL
"54",43.449570000000001,-74.516249999999999,0.037611000000000,0.010593000000000,0.070000000000000,0.070000000000000,0.063000000000000,0.060000000000000,"3"
"55",44.087470000000003,-75.973159999999993,0.037264000000000,0.011696000000000,0.069000000000000,0.068000000000000,0.067000000000000,0.067000000000000,"3"
"56",43.146180000000001,-77.548169999999999,0.036439000000000,0.010928000000000,0.070000000000000,0.069000000000000,0.067000000000000,0.067000000000000,"6"
"57",40.819760000000002,-73.948250000000002,0.040112000000000,0.012616000000000,0.081000000000000,0.078000000000000,0.077000000000000,0.076000000000000,"4"
"58",43.223860000000002,-78.478880000000004,0.039403000000000,0.011818000000000,0.073000000000000,0.069000000000000,0.067000000000000,0.066000000000000,"2"
"59",43.052349999999997,-76.059209999999993,0.038361000000000,0.011107000000000,0.069000000000000,0.069000000000000,0.068000000000000,0.067000000000000,"3"
"60",41.523750000000000,-74.215339999999998,0.037157000000000,0.010453000000000,0.065000000000000,0.062000000000000,0.060000000000000,0.059000000000000,"3"
"61",43.284280000000003,-76.463239999999999,0.038264000000000,0.011191000000000,0.069000000000000,0.067000000000000,0.067000000000000,0.066000000000000,"3"
"62",41.455889999999997,-73.709770000000006,0.039597000000000,0.011078000000000,0.074000000000000,0.069000000000000,0.068000000000000,0.063000000000000,"3"
"63",40.736139999999999,-73.821529999999996,0.037507000000000,0.012683000000000,0.078000000000000,0.078000000000000,0.074000000000000,0.074000000000000,"4"
"64",40.580269999999999,-74.198319999999995,0.041339000000000,0.012328000000000,0.077000000000000,0.075000000000000,0.074000000000000,0.074000000000000,"1"
"65",41.182079999999999,-74.028189999999995,0.038481000000000,0.011056000000000,0.070000000000000,0.069000000000000,0.065000000000000,0.064000000000000,"3"
"66",43.012090000000001,-73.648899999999998,0.036277000000000,0.011048000000000,0.068000000000000,0.065000000000000,0.062000000000000,0.060000000000000,"3"
"67",42.091419999999999,-77.209779999999995,0.036907000000000,0.008534000000000,0.062000000000000,0.060000000000000,0.060000000000000,0.060000000000000,"6"
"68",40.745289999999997,-73.419190000000000,0.043207000000000,0.011970000000000,0.087000000000000,0.080000000000000,0.079000000000000,0.079000000000000,"8"
"69",40.960780000000000,-72.712379999999996,0.042639000000000,0.010329000000000,0.080000000000000,0.076000000000000,0.073000000000000,0.070000000000000,"8"
"70",40.827990000000000,-73.057540000000003,0.040751000000000,0.010901000000000,0.081000000000000,0.081000000000000,0.071000000000000,0.069000000000000,"4"
"71",40.961016999999998,-73.139045999999993,0.042590000000000,0.011692000000000,0.083000000000000,0.082000000000000,0.076000000000000,0.075000000000000,"8"
"72",42.400599999999997,-76.653800000000004,0.040646000000000,0.010292000000000,0.072000000000000,0.070000000000000,0.067000000000000,0.063000000000000,"5"
"73",43.230860000000000,-77.171360000000007,0.039139000000000,0.010998000000000,0.070000000000000,0.069000000000000,0.067000000000000,0.065000000000000,"3"
"74",41.051920000000003,-73.763660000000002,0.041245000000000,0.011952000000000,0.083000000000000,0.078000000000000,0.072000000000000,0.071000000000000,"8"
"75",39.920020000000001,-77.309680000000000,0.039823000000000,0.009847000000000,0.069000000000000,0.065000000000000,0.064000000000000,0.063000000000000,"2"
"76",39.923099999999998,-77.307800000000000,0.043340000000000,0.010128000000000,0.072000000000000,0.068000000000000,0.066000000000000,0.065000000000000,"1"
"77",40.465420000000002,-79.960757000000001,0.037201000000000,0.012107000000000,0.068000000000000,0.067000000000000,0.066000000000000,0.065000000000000,"10"
"78",40.375644000000001,-80.169943000000004,0.045041000000000,0.011083000000000,0.070000000000000,0.070000000000000,0.070000000000000,0.068000000000000,"9"
